repositoryOrigin,repositoryPath,repositoryBranch,cve,groupId,artifactId,version,fixedVersion,fixWithVersionUpdateOnly,summary,severity,depth
github.com,lpc3219835527/ilink,master,CVE-2022-22950,org.springframework,spring-expression,5.0.7.RELEASE,5.2.20,FALSE,Allocation of Resources Without Limits or Throttling in Spring Framework,MODERATE,1
github.com,lpc3219835527/ilink,master,CVE-2015-7501,commons-collections,commons-collections,3.2.1,3.2.2,TRUE,Deserialization of Untrusted Data in Apache commons collections,CRITICAL,1
github.com,lpc3219835527/ilink,master,CVE-2015-6420,commons-collections,commons-collections,3.2.1,3.2.2,TRUE,Insecure Deserialization in Apache Commons Collection,HIGH,1
github.com,lpc3219835527/ilink,master,CVE-2018-11307,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.6,TRUE,Deserialization of Untrusted Data in jackson-databind,CRITICAL,0
github.com,lpc3219835527/ilink,master,CVE-2018-14718,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.7,TRUE,Arbitrary Code Execution in jackson-databind,CRITICAL,0
github.com,lpc3219835527/ilink,master,CVE-2018-14719,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.7,TRUE,Arbitrary Code Execution in jackson-databind,CRITICAL,0
github.com,lpc3219835527/ilink,master,CVE-2018-14720,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.7,TRUE, XML External Entity Reference (XXE) in jackson-databind,CRITICAL,0
github.com,lpc3219835527/ilink,master,CVE-2018-14721,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.7,TRUE,Server-Side Request Forgery (SSRF) in jackson-databind,CRITICAL,0
github.com,lpc3219835527/ilink,master,CVE-2018-19360,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.8,TRUE, Deserialization of Untrusted Data in jackson-databind due to polymorphic deserialization,CRITICAL,0
github.com,lpc3219835527/ilink,master,CVE-2018-19361,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.8,TRUE,Deserialization of Untrusted Data in jackson-databind,CRITICAL,0
github.com,lpc3219835527/ilink,master,CVE-2019-14379,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.9.2,TRUE,Deserialization of untrusted data in FasterXML jackson-databind,CRITICAL,0
github.com,lpc3219835527/ilink,master,CVE-2019-14540,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.10,TRUE,Polymorphic Typing issue in FasterXML jackson-databind,CRITICAL,0
github.com,lpc3219835527/ilink,master,CVE-2019-16335,com.fasterxml.jackson.core,jackson-databind,2.9.5,2.9.10,TRUE,Polymorphic Typing issue in FasterXML jackson-databind,CRITICAL,0
