repositoryOrigin,repositoryPath,repositoryBranch,sourceFile,method
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathClassLoader.java","extractedUrls.add(url)"
github.com,"spring-projects/spring-ws-samples",main,"airline/server/src/main/java/org/springframework/ws/samples/airline/schema/support/SchemaConversionUtils.java","schemaTicket.getPassengers().getPassenger().add(toSchemaType(passenger))"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathClassLoader.java","urls.add(new URL(entry))"
github.com,"spring-projects/spring-ws-samples",main,"airline/server/src/main/java/org/springframework/ws/samples/airline/ws/AirlineEndpoint.java","response.getFlight().add(SchemaConversionUtils.toSchemaType(domainFlight))"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathClassLoader.java","processedUrls.add(url)"
github.com,"spring-projects/spring-ws-samples",main,"airline/server/src/main/java/org/springframework/ws/samples/airline/ws/AirlineEndpoint.java","passengers.add(passenger)"
github.com,"spring-projects/spring-ws-samples",main,"airline/server/src/main/java/org/springframework/ws/samples/airline/ws/AirlineEndpoint.java","passengers.add(frequentFlyer)"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathClassLoader.java","resolvedArtifacts.add(artifact.getArtifact().getFile().toURI().toURL())"
github.com,"spring-projects/spring-ws-samples",main,"echo/server/src/main/java/org/springframework/ws/samples/echo/config/EchoConfig.java","interceptors.add(validatingInterceptor)"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathClassLoader.java","dependencies.add(new Dependency(new DefaultArtifact(coordinate), null))"
github.com,"spring-projects/spring-ws-samples",main,"echo/server/src/main/java/org/springframework/ws/samples/echo/config/EchoConfig.java","
interceptors.add(new PayloadLoggingInterceptor())"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathRunner.java","extractedUrls.add(url)"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathRunner.java","urls.add(new URL(entry))"
github.com,"spring-projects/spring-ws-samples",main,"airline/client/spring-ws/src/main/java/org/springframework/ws/samples/airline/client/sws/GetFlights.java","passengers.getPassengerOrUsername().add(""john"")"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathRunner.java","processedUrls.add(url)"
github.com,"spring-projects/spring-ws-samples",main,"airline/client/jax-ws/src/main/java/org/springframework/ws/samples/airline/client/jaxws/JaxWsMain.java","passengers.getPassengerOrUsername().add(""john"")"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathRunner.java","resolvedArtifacts.add(artifact.getArtifact().getFile().toURI().toURL())"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathRunner.java","dependencies.add(new Dependency(new DefaultArtifact(coordinate), null))"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathRunner.java","this.exclusions.add(""log4j-*.jar"")"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-test-support/src/main/java/org/springframework/cloud/test/ModifiedClassPathRunner.java","wrapped.add(new ModifiedClassPathFrameworkMethod(frameworkMethod.getMethod()))"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-commons/src/main/java/org/springframework/cloud/configuration/CompositeCompatibilityVerifier.java","errors.add(result)"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-commons/src/main/java/org/springframework/cloud/client/discovery/EnableDiscoveryClientImportSelector.java","importsList.add(""org.springframework.cloud.client.serviceregistry.AutoServiceRegistrationConfiguration"")"
github.com,"spring-cloud/spring-cloud-commons",main,"spring-cloud-commons/src/main/java/org/springframework/cloud/client/discovery/composite/reactive/ReactiveCompositeDiscoveryClient.java","serviceInstances.add(discoveryClient.getInstances(serviceId))"
